Designator	Part	Midx	Midy	Refx	Refy	Padx	Pady	TB	Rotation
J1	HEADER10	0.487	0.055	0.937	0.055	0.937	0.055	Top	90.0
R2	0805	0.150	0.355	0.189	0.354	0.189	0.354	Top	-90.0
L1	HEADER2	0.623	0.831	0.573	0.831	0.573	0.831	Top	0.0
J3	HEADER5	0.616	0.944	0.416	0.944	0.416	0.944	Top	0.0
X1	X2045	0.343	0.252	0.343	0.252	0.343	0.150	Top	90.0
U2	SOIC28	0.599	0.344	0.453	0.669	0.453	0.669	Top	0.0
J2	HEADER10	-0.395	0.946	0.055	0.946	0.055	0.946	Top	-90.0
R3	0805	0.149	0.479	0.188	0.478	0.188	0.478	Top	90.0
D3	0805	0.405	0.456	0.366	0.457	0.366	0.457	Top	180.0
D2	0805	0.405	0.559	0.366	0.559	0.366	0.559	Top	180.0
R4	0805	0.422	0.752	0.461	0.752	0.461	0.752	Top	90.0
B1	PBAE4	0.224	0.822	0.224	0.822	0.302	0.960	Top	0.0
C2	0805	0.405	0.051	0.366	0.051	0.366	0.051	Top	180.0
C3	0805	0.791	0.219	0.830	0.218	0.830	0.218	Top	90.0
